"SITE";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"LONGITUDE";"LATITUDE"
"CHIRFA BTS MOBILE";"CHIRFA";"Rural";"Dirkou";"Centre";"Agadez";12.319933;20.922028
"DIRKOU";"DIRKOU";"Rural";"Dirkou";"Centre";"Agadez";12.89130556;18.98980556
"DJADO _MARCHÉ";"DJADO MINE D'OR";"Rural";"Dirkou";"Centre";"Agadez";11.82114;21.38686
"SIGUIDIM";"SIGUIDIM";"Rural";"Dirkou";"Centre";"Agadez";12.96120833;20.18734722
"BILMA";"BILMA";"Urbain";"Dirkou";"Centre";"Agadez";12.91630556;18.68933333
"ABARDAKE";"ABARDAKE";"Rural";"Tabelote";"Centre";"Agadez";8.747;17.616
"AMZIGUER";"AMZIGUER";"Rural";"Tabelote";"Centre";"Agadez";9.54564;17.45772
"AOUDARAS";"AOUDARAS";"Rural";"Tabelote";"Centre";"Agadez";8.41271;17.63098
"DABAGA";"DABAGA";"Rural";"Tabelote";"Centre";"Agadez";8.137619;17.311239
"TABELOTE";"TABELOTE";"Rural";"Tabelote";"Centre";"Agadez";8.93838889;17.60383333
"TEFARAOUTE";"TEFARAOUTE";"Rural";"Tabelote";"Centre";"Agadez";8.00125;18.010647222222
"TIMIA";"TIMIA";"Rural";"Tabelote";"Centre";"Agadez";8.829583333;18.193
"GOUGARAMA";"GOUGARAMA";"Rural";"Arlit 1";"Nord";"Agadez";7.80564723;18.45047778
"IFEROUANE";"IFEROUANE";"Rural";"Arlit 1";"Nord";"Agadez";8.4225;19.064431
"RTA";"RTA";"Rural";"Arlit 1";"Nord";"Agadez";7.53004731;18.08268583
"ARLIT-SOMAIR";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.39009139;18.73877656
"ARLIT SOMAIR KARÉ";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.40022222;18.74052778
"ARLIT_SOMAIR_DENSIF";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";7.3918583333333;18.747536111111
"ASSAMAKA";"ASSAMAKA";"Rural";"Arlit 2";"Nord";"Agadez";5.771158333;19.33405
"PK40_TCHIBARKATEN";"PK40_TCHIBARKATEN";"Rural";"Arlit 2";"Nord";"Agadez";8.75171;21.55657
"TCHIBARKATEN_2";"TCHIBARKTEN";"Rural";"Arlit 2";"Nord";"Agadez";9.05776113;21.74946476
"TCHIBARKTEN";"TCHIBARKTEN";"Rural";"Arlit 2";"Nord";"Agadez";9.04039;21.75351
"ARLIT AKOKAN";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.3404227;18.71143357
"ARLIT AKOKAN TCHETCHENI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.33393334;18.71024723
"ARLIT BOUKOKI 1";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.38917778;18.72693612
"ARLIT HQ_AIRTEL";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.3841;18.7369
"COMINAK ZI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.30722223;18.67894445
"SOMAIR LIXI";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.34494445;18.77994445
"SOMAIR TAMGAK";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.30527778;18.73944445
"SOMAIR TAZA";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";7.31705556;18.74622223
"ANIOKKAN";"ANIOKKAN";"Rural";"Ingall";"Sud";"Agadez";6.93601;16.98873
"ABALAMA";"ABALAMA";"Rural";"Agadez 1";"Sud";"Agadez";7.843938889;16.26826944
"ADERBISSINAT";"ADERBISSINAT";"Rural";"Agadez 1";"Sud";"Agadez";7.90103126;15.61641668
"TEGUIRWITE";"TEGUIRWITE";"Rural";"Agadez 1";"Sud";"Agadez";7.45438334;16.72645278
"AGADEZ  DOUANE";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.9655;16.947167
"AGADEZ DAGAMANET";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.973667;16.9585
"AGADEZ_DAGAMANET_2";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.9688;16.9649
"AGADEZ_MISRATA";"AGADEZ";"Urbain";"Agadez 1";"Sud";"Agadez";7.97886;16.94902
"ATTRI";"ATTRI";"Rural";"Agadez 2";"Sud";"Agadez";8.26248889;17.03578056
"TENDAYEN MACRO";"TENDAYEN";"Rural";"Agadez 2";"Sud";"Agadez";8.49387306;16.9837925
"AGADEZ EMAIR AIRTEL";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";8.00477778;16.97302778
"AGADEZ SABON GARI";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";8.011167;16.977667
"AGADEZ 2 MOOV";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.973333;16.9695
"AGADEZ HILIN SARKI";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.981;16.971333
"AGADEZ_RIMBO AIRTEL";"AGADEZ";"Urbain";"Agadez 3";"Sud";"Agadez";7.9815;16.9759
"AGADEZ ELEVAGE";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";7.985333;16.9785
"AGADEZ JEUNE CADRE";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";7.998833;16.987
"TCHIROZERINE";"TCHIROZERINE";"Urbain";"Agadez 4";"Sud";"Agadez";7.83322208;17.26652965
"AZEL";"AZEL";"Rural";"Agadez 5";"Sud";"Agadez";8.05725;17.078717
"AGADEZ MARCHE LEGUMES";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";8.001;16.9775
"AGADEZ MOOV OLD VILLE";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";7.988167;16.971167
"AGADEZ_LI";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";7.9794;16.9659
"AGHOR";"AGHOR";"Rural";"Ingall";"Sud";"Agadez";6.40166667;16.6388889
"AMATALTAL";"AMATALTAL";"Rural";"Ingall";"Sud";"Agadez";7.16730136;16.2093372
"CENTRE BAZENE";"BAZEN";"Rural";"Ingall";"Sud";"Agadez";6.5216;16.89359
"INGALL";"INGALL";"Rural";"Ingall";"Sud";"Agadez";6.93444064;16.78900142
"INJITAN MACRO";"INJITAN";"Rural";"Ingall";"Sud";"Agadez";7.248353;17.17597
"MARARABA_INGAL";"MARARABA INGALL";"Rural";"Ingall";"Sud";"Agadez";7.32;16.450001
"TAGDOUMTE";"TAGDOUMTE";"Rural";"Ingall";"Sud";"Agadez";6.70394;16.52217
"BOSSO";"BOSSO";"Rural";"Diffa 1";"Est";"Diffa";13.30889269;13.70335657
"CHETIMARI";"CHETIMARI";"Rural";"Diffa 1";"Est";"Diffa";12.42270459;13.1870997
"KABALEWA";"KABALEWA";"Rural";"Diffa 1";"Est";"Diffa";12.97783333;13.97763889
"N'GOURTI";"N'GOURTI";"Rural";"Diffa 1";"Est";"Diffa";13.20000335;15.29999811
"DIFFA_18_DECEMBRE";"DIFFA";"Urbain";"Diffa 1";"Est";"Diffa";12.590212;13.310959
"DIFFA_JEUNE_CADRE";"DIFFA";"Urbain";"Diffa 1";"Est";"Diffa";12.60645;13.31052
"N'GUIGMI";"N'GUIGMI";"Urbain";"Diffa 1";"Est";"Diffa";13.1179;14.25129653
"WOULWAGUESKEROU";"GUESKEROU";"Rural";"Diffa 2";"Est";"Diffa";12.81980556;13.49408333
"ISSARI";"ISSARI";"Rural";"Diffa 2";"Est";"Diffa";12.27819444;13.64625
"MOUSTAPHARI";"MOUSTAPHARI";"Rural";"Diffa 2";"Est";"Diffa";12.57055556;13.2765
"NGUELKOLO";"N'GUEL KOLO";"Rural";"Diffa 2";"Est";"Diffa";12.37055556;13.42283333
"ZAWARAM";"ZARWARAM";"Rural";"Diffa 2";"Est";"Diffa";12.52231111;13.16221944
"DIFFA MARCHE";"DIFFA";"Urbain";"Diffa 2";"Est";"Diffa";12.6183;13.31214
"DIFFA VILLE";"DIFFA";"Urbain";"Diffa 2";"Est";"Diffa";12.61581458;13.31426628
"DIFFA STADE";"DIFFA";"Urbain";"Diffa 3";"Est";"Diffa";12.60897;13.322
"DIFFA_ADMINISTRATION";"DIFFA";"Urbain";"Diffa 3";"Est";"Diffa";12.608748;13.315947
"BOUTTI";"BOUTTI";"Rural";"Mainé Soroa";"Ouest";"Diffa";11.33836111;13.98338889
"CHERI";"CHERI";"Rural";"Mainé Soroa";"Ouest";"Diffa";11.38505556;13.42847222
"DJADJERI";"DJADJERI";"Rural";"Mainé Soroa";"Ouest";"Diffa";11.50841667;13.589
"FOULATARI";"FOULATARI";"Rural";"Mainé Soroa";"Ouest";"Diffa";12.0587;13.5484
"GOUDOUMARIA";"GOUDOUMARIA";"Rural";"Mainé Soroa";"Ouest";"Diffa";11.18744444;13.7165
"KELAKAM";"KELAKAM";"Rural";"Mainé Soroa";"Ouest";"Diffa";11.73541667;13.55491667
"MAINE SOROA";"MAINE SOROA";"Urbain";"Mainé Soroa";"Ouest";"Diffa";12.0246369;13.22036356
"BOUMBA";"BOUMBA";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.8525556;12.408639
"FALMEY";"FALMEY";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.86006111;12.59565
"HARRIKINASSOU";"HARRIKINASSOU";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.83898888888889;13.2531805555556
"KIOTA";"KIOTA";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.96046714;13.28803389
"LAMBA";"LAMBA";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.99939114;13.09627996
"SINA KOUARA";"SINA KOUARA";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.66428919;13.24556047
"KOFFO WAZEY";"WAZEY";"Rural";"Birni N'Gaouré";"Centre";"Dosso";2.76538843;13.14316749
"BIRNI N'GAOUARE";"BIRNI N'GAOUARE";"Urbain";"Birni N'Gaouré";"Centre";"Dosso";2.90837217;13.08145184
"DOSSO_18DEC";"DOSSO";"Urbain";"Dosso 1";"Centre";"Dosso";3.1643;13.0495
"DOSSO_ECOLE KOIRA TEGUI";"DOSSO";"Urbain";"Dosso 1";"Centre";"Dosso";3.1904;13.0544
"DOSSO_QUARTIER BAGUÉ KOIRA";"DOSSO";"Urbain";"Dosso 1";"Centre";"Dosso";3.18567;13.04949
"DOSSO_QUARTIER BOUKOKI";"DOSSO";"Urbain";"Dosso 1";"Centre";"Dosso";3.20536;13.0626
"AGALI";"AGALI";"Rural";"Dosso 2";"Centre";"Dosso";3.18616667;12.94236111
"FAARI";"FAARI";"Rural";"Dosso 2";"Centre";"Dosso";3.37267737;12.98701229
"KOYGOLO YENI";"KOYGOLO YENI";"Rural";"Dosso 2";"Centre";"Dosso";3.00291971;13.47827194
"MOKKO";"MOKKO";"Rural";"Dosso 2";"Centre";"Dosso";3.27;13.170556
"YAMBARE";"YAMBARE";"Rural";"Dosso 2";"Centre";"Dosso";3.03223;12.88305
"DOSSO 500";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.19471984;13.04394917
"DOSSO 501";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.20783046;13.0383235
"DOSSO_MOOV2";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.20693056;13.05049167
"DOSSO_SAMARIA_OUDOUN_KOUKOU";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.19625;13.050104
"DOSSO_TONDOBON";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.20293;13.04696
"DOSSO_TOUBAL";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";3.19783583;13.01145278
"BOLBOL";"BOLBOL";"Rural";"Dosso 3";"Centre";"Dosso";3.57199374;12.96255237
"DOUMEGA";"DOUMEGA";"Rural";"Dosso 3";"Centre";"Dosso";3.97114893;12.96979655
"GUECHEME";"GUECHEME";"Rural";"Dosso 3";"Centre";"Dosso";3.86854236;12.90468736
"KARAKARA";"KARAKARA";"Rural";"Dosso 3";"Centre";"Dosso";3.64683056;12.7857
"LIDO";"LIDO";"Rural";"Dosso 3";"Centre";"Dosso";3.72149321;12.89610132
"WASSANGOU";"WASSANGOU";"Rural";"Dosso 3";"Centre";"Dosso";3.80556998;12.90449108
"DAREY";"DAREY";"Rural";"Loga";"Centre";"Dosso";3.12023014;13.68946191
"FALWAL";"FALWAL";"Rural";"Loga";"Centre";"Dosso";3.5955319;13.52086777
"MOUSSADEY BERI";"MOUSSADEY BERI";"Rural";"Loga";"Centre";"Dosso";3.1846;13.3937
"TOMBOTAMEYE";"TOMBOTAMEYE";"Rural";"Loga";"Centre";"Dosso";3.3733298;13.55973581
"LOGA";"LOGA";"Urbain";"Loga";"Centre";"Dosso";3.23593307;13.61970868
"DAN KASSARI";"DAN KASSARI";"Rural";"Doutchi 1";"Est";"Dosso";4.38000155;13.71999709
"GOUBEY";"GOUBEY";"Rural";"Doutchi 1";"Est";"Dosso";4.15266185;13.69078606
"DOGONDOUTCHI";"DOGONDOUTCHI";"Urbain";"Doutchi 1";"Est";"Dosso";4.03864412;13.63977557
"DOUTCHI_II";"DOGONDOUTCHI";"Urbain";"Doutchi 1";"Est";"Dosso";4.0221666666667;13.64625
"BAGAGI";"BAGAGI";"Rural";"Doutchi 2";"Est";"Dosso";4.03897222;13.84494444
"DOGONKIRYA";"DOGONKIRYA";"Rural";"Doutchi 2";"Est";"Dosso";4.36019444;14.05772222
"MALAM KOIRA";"GARI 'NALAM";"Rural";"Doutchi 2";"Est";"Dosso";3.7013935;13.56824356
"MATANKARI";"MATANKARI";"Rural";"Doutchi 2";"Est";"Dosso";4.00257864;13.76130796
"MAZOUGA";"MAZOUGA";"Rural";"Doutchi 2";"Est";"Dosso";3.87878055;13.63098959
"SOUKOUKOUTAN";"SOUKOUKOUTANE";"Rural";"Doutchi 2";"Est";"Dosso";3.88185;14.18771944
"BOUREIMI";"BOUREIMI";"Rural";"Koré";"Est";"Dosso";3.7383771;13.17236008
"FADAMA";"FADAMA";"Rural";"Koré";"Est";"Dosso";3.90408561;13.03550002
"KIECHE";"KIEche";"Rural";"Koré";"Est";"Dosso";4.0112895;13.44508051
"KORE MAIROUA";"KORE MAIROUA";"Rural";"Koré";"Est";"Dosso";3.9011961;13.2971014
"SANKEY";"SANKEY";"Rural";"Koré";"Est";"Dosso";3.97537577;13.44507756
"TIBIRI DOSSO";"TIBIRI DOSSO";"Rural";"Koré";"Est";"Dosso";3.99938348;13.11579939
"DOLE";"DOLE";"Rural";"Gaya 1";"Sud";"Dosso";3.62855675;11.71266236
"TANDA";"TANDA";"Rural";"Gaya 1";"Sud";"Dosso";3.31000264;11.99000161
"GAYA";"GAYA";"Urbain";"Gaya 1";"Sud";"Dosso";3.43802081;11.88552662
"GAYA PARC AUTO";"GAYA";"Urbain";"Gaya 1";"Sud";"Dosso";3.4108;11.88661
"GAYA_III";"GAYA";"Urbain";"Gaya 1";"Sud";"Dosso";3.457758;11.881508
"GAYA2";"GAYA";"Urbain";"Gaya 1";"Sud";"Dosso";3.45541101;11.89066278
"BELLA";"BELLA";"Rural";"Gaya 2";"Sud";"Dosso";3.35073556;12.37074102
"BENGOU";"BENGOU";"Rural";"Gaya 2";"Sud";"Dosso";3.58506206;11.99719446
"DIOUNDIOU";"DIOUNDIOU";"Rural";"Gaya 2";"Sud";"Dosso";3.5487502;12.6212215
"MALGOROU";"MALGOROU";"Rural";"Gaya 2";"Sud";"Dosso";3.45999666;12.17381283
"OUNA";"OUNA";"Rural";"Gaya 2";"Sud";"Dosso";3.15372222;12.1705
"SABON BIRNI";"SABON BIRNI";"Rural";"Gaya 2";"Sud";"Dosso";3.57017094;11.89567219
"SAMBERA";"SAMBERA";"Rural";"Gaya 2";"Sud";"Dosso";3.07195;12.39025
"SIA";"SIA";"Rural";"Gaya 2";"Sud";"Dosso";3.29036111;12.10775
"YELLOU";"YELLOU";"Rural";"Gaya 2";"Sud";"Dosso";3.58091814;12.25982631
"DAN KADA";"DAN KADA";"Rural";"Aguié";"Est";"Maradi";7.64478;13.52408
"GAZAOUA";"GAZAOUA";"Rural";"Aguié";"Est";"Maradi";7.91232463;13.52005836
"KONAMADOBI";"KONA MADOBI";"Rural";"Aguié";"Est";"Maradi";8.00383333;13.5595
"AGUIE";"AGUIE";"Urbain";"Aguié";"Est";"Maradi";7.77168626;13.50180786
"DAN MAIRO";"DAN MAIRO";"Rural";"Mayahi";"Est";"Maradi";7.31344512;13.89127632
"GUIDAN WARI";"GUIDAN WARI";"Rural";"Mayahi";"Est";"Maradi";7.23386297;14.13655566
"KANAN-BAKACHE";"KANAMBAKACHE";"Rural";"Mayahi";"Est";"Maradi";7.82733051;13.86756523
"SERKIN_HAOUSSA";"SERKIN HAOUSSA";"Rural";"Mayahi";"Est";"Maradi";7.58761378;13.84455369
"MAYAHI";"MAYAHI";"Urbain";"Mayahi";"Est";"Maradi";7.67415244;13.9487273
"BAOUDETA";"BAOUDETA";"Rural";"Tessaoua";"Est";"Maradi";8.099;13.62405556
"DADINKOWA";"DADINKOWA";"Rural";"Tessaoua";"Est";"Maradi";8.14816734;13.37957968
"DARGAZA";"DARGAZA";"Rural";"Tessaoua";"Est";"Maradi";8.33051667;13.848
"KORGOME";"KORGOME";"Rural";"Tessaoua";"Est";"Maradi";8.25783333;13.45785278
"MAIJIRGUI";"MAIJIRGUI";"Rural";"Tessaoua";"Est";"Maradi";8.14045407;13.73874811
"OURAFANE";"OURAFANE";"Rural";"Tessaoua";"Est";"Maradi";8.11666906;14.08333526
"TESSAOUA";"TESSAOUA";"Urbain";"Tessaoua";"Est";"Maradi";7.98009954;13.74103591
"TESSAOUA_2";"TESSAOUA";"Urbain";"Tessaoua";"Est";"Maradi";7.99066667;13.7543333
"BERMO";"BERMO";"Rural";"Dakoro";"Nord";"Maradi";6.821806;15.140333
"DAN_KOULOU";"DAN KOULOU";"Rural";"Dakoro";"Nord";"Maradi";7.22641583;14.46725341
"ELGOULABADER";"EL GOULA - BADER";"Rural";"Dakoro";"Nord";"Maradi";7.23269444;14.65827778
"GANDOU";"GANDOU";"Rural";"Dakoro";"Nord";"Maradi";7.55411111;14.80738889
"INTOUILLA";"INTOUILLA";"Rural";"Dakoro";"Nord";"Maradi";6.62258333;14.70427778
"KORAHAN";"KORAHAN";"Rural";"Dakoro";"Nord";"Maradi";6.57136111;14.55952778
"DAKORO";"DAKORO";"Urbain";"Dakoro";"Nord";"Maradi";6.76555152;14.50036121
"ADJEKORIA";"ADJEKORIA";"Rural";"Kornaka";"Nord";"Maradi";6.7909779;14.3406919
"DAN GOMA";"DAN GOMA";"Rural";"Kornaka";"Nord";"Maradi";7.22946529;14.30349489
"KORNAKA";"KORNAKA";"Rural";"Kornaka";"Nord";"Maradi";6.90080779;14.10833686
"SABON MACHI";"SABON MACHI";"Rural";"Kornaka";"Nord";"Maradi";6.98408095;13.87441457
"DAN GOULBI";"DAN GOULBI";"Rural";"Guidan Roumdji";"Sud";"Maradi";6.54158333;13.96252778
"DOGONFAROU";"DOGONFAROU";"Rural";"Guidan Roumdji";"Sud";"Maradi";6.48351044;13.73342738
"KARAZOME";"KARAZOME";"Rural";"Guidan Roumdji";"Sud";"Maradi";6.86109275;13.65777868
"GUIDAN ROUMJI";"GUIDAN ROUMDJI";"Urbain";"Guidan Roumdji";"Sud";"Maradi";6.69692468;13.66182616
"DAN ISSA";"DAN ISSA";"Rural";"Madarounfa";"Sud";"Maradi";7.25381976;13.15696724
"DAN ISSA VILLAGE";"DAN ISSA";"Rural";"Madarounfa";"Sud";"Maradi";7.2588333333334;13.1968065
"GABI";"GABI";"Rural";"Madarounfa";"Sud";"Maradi";7.03632933;13.23994353
"SAFO OUBANDAWAKI";"SAFO OUBANDAWAKI";"Rural";"Madarounfa";"Sud";"Maradi";7.11972132;13.41437484
"SERKIN_YAMA";"SERKIN YAMA";"Rural";"Madarounfa";"Sud";"Maradi";6.93386237;13.36022011
"MADAROUNFA";"MADAROUNFA";"Urbain";"Madarounfa";"Sud";"Maradi";7.16186557;13.29964714
"ALI DAN SOFO 2";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.123217;13.48038
"ALI DAN SOFO AIRTEL";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.11719167;13.473
"MARADI 600";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.11403355;13.48222818
"MARADI BOURJA";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.10759723;13.47256389
"MARADI ECOLE NORMALE";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.11846667;13.48912778
"MARADI UNIVERSITE";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.12788889;13.49197223
"MARADI_CHÂTEAU_JANGORZO";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";7.1128;13.4944
"MARADI 601";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";7.1081302;13.49763452
"MARADI_MOOV";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";7.10569444;13.48608333
"YANDAKA ONI";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";7.09893056;13.49496667
"CHADAKORI";"CHADAKORI";"Rural";"Maradi 3";"Sud";"Maradi";6.98474818;13.67874742
"MARADI BELBELOU";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.10920556;13.52766112
"MARADI BILDI";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.09416667;13.51025
"MARADI CITÉ CAISSE";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.10040834;13.51698056
"MARADI INDAKA AIRTEL";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.09069167;13.49355556
"MARADI_ARENE";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.1024;13.5118
"NOUVEAU CARRÉ";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.10011389;13.50396945
"TIBIRI MARADI";"TIBIRI MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";7.0622595;13.57117215
"DOGON GAO";"DOGON GAO";"Rural";"Maradi 4";"Sud";"Maradi";7.19877778;13.60738889
"GARIN BORI";"GARIN BORI";"Rural";"Maradi 4";"Sud";"Maradi";7.22896;13.5286
"MALLOUMEY SABOUA";"MALLOUMEY SABOUA";"Rural";"Maradi 4";"Sud";"Maradi";7.35997222;13.53088889
"TCHADOUA";"TCHADOUA";"Rural";"Maradi 4";"Sud";"Maradi";7.45514112;13.55169732
"MARADI 602";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";7.10942871;13.51529538
"MARADI ZARIA ONI";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";7.12046112;13.52076945
"MARADI ZARIA RELIEF";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";7.121;13.51322222
"MARADI_AÉROPORT";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";7.1104;13.5036
"MARADI_ZARIA3";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";7.1128;13.5104
